longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
62.3,29.5,0.0001,0,1.21e-05,0.12099999999999998
62.3,29.6,0.0001,0,1.32e-05,0.132
62.3,29.7,0.0001,0,1.37e-05,0.13699999999999998
62.3,29.8,0.0001,0,1.34e-05,0.134
62.3,29.9,0.0001,0,1.23e-05,0.123
62.4,29.2,0.0001,0,1.33e-05,0.13299999999999998
62.4,29.3,0.0001,0,1.74e-05,0.174
62.4,29.4,0.0001,0,2.15e-05,0.215
62.4,29.5,0.0001,0,2.5e-05,0.25
62.4,29.6,0.0001,0,2.74e-05,0.27399999999999997
62.4,29.7,0.0001,0,2.84e-05,0.284
62.4,29.8,0.0001,0,2.77e-05,0.27699999999999997
62.4,29.9,0.0001,0,2.55e-05,0.255
62.4,30.0,0.0001,0,2.21e-05,0.22099999999999997
62.4,30.1,0.0001,0,1.81e-05,0.181
62.4,30.2,0.0001,0,1.4e-05,0.13999999999999999
62.5,29.0,0.0001,0,1.3e-05,0.12999999999999998
62.5,29.1,0.0001,0,1.92e-05,0.19199999999999998
62.5,29.2,0.0001,0,2.65e-05,0.265
62.5,29.3,0.0001,0,3.47e-05,0.34700000000000003
62.5,29.4,0.0002,0,4.27e-05,0.2135
62.5,29.5,0.0002,0,4.97e-05,0.2485
62.5,29.6,0.0002,0,5.44e-05,0.27199999999999996
62.5,29.7,0.0002,0,5.63e-05,0.2815
62.5,29.8,0.0002,0,5.49e-05,0.27449999999999997
62.5,29.9,0.0002,0,5.05e-05,0.2525
62.5,30.0,0.0002,0,4.38e-05,0.219
62.5,30.1,0.0001,0,3.58e-05,0.358
62.5,30.2,0.0001,0,2.76e-05,0.27599999999999997
62.5,30.3,0.0001,0,2.01e-05,0.20099999999999998
62.5,30.4,0.0001,0,1.38e-05,0.13799999999999998
62.6,28.9,0.0001,0,1.6e-05,0.15999999999999998
62.6,29.0,0.0001,0,2.49e-05,0.24899999999999997
62.6,29.1,0.0002,0,3.65e-05,0.1825
62.6,29.2,0.0002,0,5.05e-05,0.2525
62.6,29.3,0.0003,0,6.6e-05,0.22000000000000003
62.6,29.4,0.0003,0,8.12e-05,0.27066666666666667
62.6,29.5,0.0004,0,9.43e-05,0.23575
62.6,29.6,0.0004,0,0.0001033,0.25825
62.6,29.7,0.0004,0,0.0001068,0.26699999999999996
62.6,29.8,0.0004,0,0.000104,0.25999999999999995
62.6,29.9,0.0004,0,9.56e-05,0.23900000000000002
62.6,30.0,0.0003,0,8.29e-05,0.2763333333333333
62.6,30.1,0.0003,0,6.77e-05,0.2256666666666667
62.6,30.2,0.0002,0,5.22e-05,0.261
62.6,30.3,0.0002,0,3.8e-05,0.19
62.6,30.4,0.0001,0,2.6e-05,0.25999999999999995
62.6,30.5,0.0001,0,1.68e-05,0.16799999999999998
62.7,28.8,0.0001,0,1.77e-05,0.177
62.7,28.9,0.0001,0,2.91e-05,0.291
62.7,29.0,0.0002,0,4.53e-05,0.2265
62.7,29.1,0.0003,0,6.65e-05,0.2216666666666667
62.7,29.2,0.0004,0,9.2e-05,0.22999999999999998
62.7,29.3,0.0005,0,0.00012,0.24
62.7,29.4,0.0006,0,0.0001477,0.2461666666666667
62.7,29.5,0.0007,0,0.0001715,0.245
62.7,29.6,0.0008,0,0.0001877,0.234625
62.7,29.7,0.0008,0,0.0001938,0.24225
62.7,29.8,0.0008,0,0.0001887,0.235875
62.7,29.9,0.0007,0,0.0001733,0.24757142857142858
62.7,30.0,0.0006,0,0.0001502,0.25033333333333335
62.7,30.1,0.0005,0,0.0001227,0.2454
62.7,30.2,0.0004,0,9.45e-05,0.23625000000000002
62.7,30.3,0.0003,0,6.87e-05,0.22900000000000004
62.7,30.4,0.0002,0,4.71e-05,0.2355
62.7,30.5,0.0001,0,3.04e-05,0.304
62.7,30.6,0.0001,0,1.86e-05,0.186
62.8,28.7,0.0001,0,1.76e-05,0.176
62.8,28.8,0.0001,0,3.08e-05,0.308
62.8,28.9,0.0002,0,5.08e-05,0.254
62.8,29.0,0.0003,0,7.9e-05,0.26333333333333336
62.8,29.1,0.0005,0,0.0001159,0.23179999999999998
62.8,29.2,0.0007,0,0.0001602,0.22885714285714284
62.8,29.3,0.0009,0,0.0002089,0.23211111111111113
62.8,29.4,0.0011,0,0.000257,0.23363636363636364
62.8,29.5,0.0012,0,0.0002981,0.24841666666666667
62.8,29.6,0.0014,0,0.0003262,0.233
62.8,29.7,0.0014,0,0.0003366,0.24042857142857144
62.8,29.8,0.0014,0,0.0003276,0.23399999999999999
62.8,29.9,0.0013,0,0.0003007,0.2313076923076923
62.8,30.0,0.0011,0,0.0002604,0.2367272727272727
62.8,30.1,0.0009,0,0.0002126,0.23622222222222222
62.8,30.2,0.0007,0,0.0001637,0.23385714285714285
62.8,30.3,0.0005,0,0.0001189,0.2378
62.8,30.4,0.0003,0,8.15e-05,0.2716666666666667
62.8,30.5,0.0002,0,5.26e-05,0.26299999999999996
62.8,30.6,0.0001,0,3.21e-05,0.321
62.8,30.7,0.0001,0,1.84e-05,0.184
62.9,28.6,0.0001,0,1.59e-05,0.159
62.9,28.7,0.0001,0,2.95e-05,0.295
62.9,28.8,0.0002,0,5.15e-05,0.25749999999999995
62.9,28.9,0.0004,0,8.48e-05,0.212
62.9,29.0,0.0005,0,0.0001318,0.2636
62.9,29.1,0.0008,0,0.0001931,0.241375
62.9,29.2,0.0011,0,0.0002669,0.2426363636363636
62.9,29.3,0.0015,0,0.0003479,0.23193333333333332
62.9,29.4,0.0018,0,0.0004277,0.2376111111111111
62.9,29.5,0.0021,0,0.0004959,0.23614285714285715
62.9,29.6,0.0023,0,0.0005423,0.23578260869565218
62.9,29.7,0.0023,0,0.0005594,0.24321739130434786
62.9,29.8,0.0023,0,0.0005441,0.23656521739130437
62.9,29.9,0.0021,0,0.0004992,0.2377142857142857
62.9,30.0,0.0018,0,0.000432,0.24
62.9,30.1,0.0015,0,0.0003526,0.23506666666666667
62.9,30.2,0.0011,0,0.0002714,0.24672727272727268
62.9,30.3,0.0008,0,0.000197,0.24624999999999997
