longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,27,0.0053,4.5,45,0.00011778,1233.8,935.0,,180,70,subduction interface ,0.88606,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 60E 70-180 km depth M4.5,27N_60E_L3_M4p5,-4.52,-5.59,-7.78
61,27,0.0003,4.5,45,6.6667e-06,1164.6,935.0,,180,70,subduction interface ,-0.36109,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 61E 70-180 km depth M4.5,27N_61E_L3_M4p5,,,
62,27,0.0025,4.5,45,5.5556e-05,1098.6,935.0,,180,70,subduction interface ,0.55973,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 62E 70-180 km depth M4.5,27N_62E_L3_M4p5,-4.93,-6,
62,28,0.0081,4.5,45,0.00018,1021,935.0,,180,70,subduction interface ,1.0703,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,28N 62E 70-180 km depth M4.5,28N_62E_L3_M4p5,-4.32,-5.39,-6.83
63,23,0.0001,4.5,45,2.2222e-06,1334.4,936.0,,180,70,subduction intraslab Himalayas,-0.073213,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 63E 70-180 km depth M4.5,23N_63E_L3_M4p5,,,
63,24,0.0002,4.5,45,4.4444e-06,1255.6,936.0,,180,70,subduction intraslab Himalayas,0.22782,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 63E 70-180 km depth M4.5,24N_63E_L3_M4p5,-6.36,,
63,27,0.0025,4.5,45,5.5556e-05,1034.5,935.0,,180,70,subduction interface ,0.55973,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 63E 70-180 km depth M4.5,27N_63E_L3_M4p5,-4.93,-6,
63,28,0.0081,4.5,45,0.00018,954.12,935.0,,180,70,subduction interface ,1.0703,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,28N 63E 70-180 km depth M4.5,28N_63E_L3_M4p5,-4.32,-5.39,-6.83
63,29,0.0014,4.5,45,3.1111e-05,877.52,935.0,,180,70,subduction interface ,0.30792,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,29N 63E 70-180 km depth M4.5,29N_63E_L3_M4p5,-5.34,-6.41,
63,30,0.0065,4.5,45,0.00014444,799.19,153.0,,180,70,subduction interface ,1.1097,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,30N 63E 70-180 km depth M4.5,30N_63E_L3_M4p5,-4.43,-5.53,-6.64
63,31,0.0002,4.5,45,4.4444e-06,718.55,153.0,,180,70,subduction interface ,-0.40218,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,31N 63E 70-180 km depth M4.5,31N_63E_L3_M4p5,,,
64,23,0.0054,4.5,45,0.00012,1275.2,936.0,,180,70,subduction intraslab Himalayas,1.6592,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 64E 70-180 km depth M4.5,23N_64E_L3_M4p5,-4.55,-5.8,-8.01
