longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
63,29,0.0009,4.5,39,2.3077e-05,846.52,169,,300,180,subduction intraslab Himalayas,-0.85682,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,29N 63E 180-300 km depth M4.5,29N_63E_L4_M4p5,,,
63,30,0.0029,4.5,39,7.4359e-05,767.13,169,,300,180,subduction intraslab Himalayas,-0.34867,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,30N 63E 180-300 km depth M4.5,30N_63E_L4_M4p5,,,
64,29,0.0081,4.5,39,0.00020769,786.53,169,,300,180,subduction intraslab Himalayas,0.09742,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,29N 64E 180-300 km depth M4.5,29N_64E_L4_M4p5,-4.8,-5.64,-6.48
64,30,0.0258,4.5,39,0.00066154,700.88,169,,300,180,subduction intraslab Himalayas,0.60056,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,30N 64E 180-300 km depth M4.5,30N_64E_L4_M4p5,-3.72,-4.56,-5.4
64,31,0.0002,4.5,39,5.1282e-06,622.79,169,,300,180,subduction intraslab Himalayas,-1.51,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,31N 64E 180-300 km depth M4.5,31N_64E_L4_M4p5,,,
65,29,0.0009,4.5,39,2.3077e-05,733.49,169,,300,180,subduction intraslab Himalayas,-0.85682,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,29N 65E 180-300 km depth M4.5,29N_65E_L4_M4p5,,,
65,30,0.0029,4.5,39,7.4359e-05,641.24,169,,300,180,subduction intraslab Himalayas,-0.34867,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,30N 65E 180-300 km depth M4.5,30N_65E_L4_M4p5,,,
68,36,0.0003,4.5,39,7.6923e-06,77.543,169,,300,180,subduction intraslab Himalayas,-1.3339,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,36N 68E 180-300 km depth M4.5,36N_68E_L4_M4p5,,,
68,37,0.0001,4.5,39,2.5641e-06,61.3,169,,300,180,subduction intraslab Himalayas,-1.8111,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,37N 68E 180-300 km depth M4.5,37N_68E_L4_M4p5,,,
69,35,0.0005,4.5,39,1.2821e-05,3.6305,169,,300,180,subduction intraslab Himalayas,-1.1121,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,35N 69E 180-300 km depth M4.5,35N_69E_L4_M4p5,,,
69,38,0.0001,4.5,39,2.5641e-06,73.012,169,,300,180,subduction intraslab Himalayas,-1.8111,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,38N 69E 180-300 km depth M4.5,38N_69E_L4_M4p5,,,
70,38,0.0044,4.5,39,0.00011282,55.494,169,,300,180,subduction intraslab Himalayas,-0.16761,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,38N 70E 180-300 km depth M4.5,38N_70E_L4_M4p5,,,
71,35,0.0122,4.5,39,0.00031282,15.656,169,,300,180,subduction intraslab Himalayas,0.2753,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,35N 71E 180-300 km depth M4.5,35N_71E_L4_M4p5,-4.25,-5.09,-5.93
71,38,0.0454,4.5,39,0.0011641,37.6,170,,300,180,subduction intraslab Himalayas,3.141,1.35,0.1,7,0.3,92,67,103,2,StrasserIntraslab,38N 71E 180-300 km depth M4.5,38N_71E_L4_M4p5,-3.61,-4.96,-6.32
71,39,0.0001,4.5,39,2.5641e-06,51.219,170,,300,180,subduction intraslab Himalayas,0.48394,1.35,0.1,7,0.3,92,67,103,2,StrasserIntraslab,39N 71E 180-300 km depth M4.5,39N_71E_L4_M4p5,-6.44,-7.79,
72,35,0.003,4.5,39,7.6923e-05,42.595,169,,300,180,subduction intraslab Himalayas,-0.33394,0.84,0.04,8.6,0.3,-113,81,305,2,StrasserIntraslab,35N 72E 180-300 km depth M4.5,35N_72E_L4_M4p5,,,
72,39,0.0005,4.5,39,1.2821e-05,34.124,170,,300,180,subduction intraslab Himalayas,1.1829,1.35,0.1,7,0.3,92,67,103,2,StrasserIntraslab,39N 72E 180-300 km depth M4.5,39N_72E_L4_M4p5,-5.6,-6.95,
