longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
66,33,0.0003,5.5,97,3.0928e-06,338.89,169.0,,300,180,subduction interface ,1.9153,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,33N 66E 180-300 km depth M5.5,33N_66E_L4_M5p5,-5.54,-6.19,-7.67
66,34,0.0015,5.5,97,1.5464e-05,293.08,169.0,,300,180,subduction interface ,2.6143,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,34N 66E 180-300 km depth M5.5,34N_66E_L4_M5p5,-4.82,-5.49,-6.86
66,35,0.0003,5.5,97,3.0928e-06,273.47,169.0,,300,180,subduction interface ,1.9153,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,35N 66E 180-300 km depth M5.5,35N_66E_L4_M5p5,-5.54,-6.19,-7.67
67,33,0.0009,5.5,97,9.2784e-06,265.84,169.0,,300,180,subduction interface ,2.3925,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,33N 67E 180-300 km depth M5.5,33N_67E_L4_M5p5,-5.04,-5.71,-7.1
67,34,0.0047,5.5,97,4.8454e-05,205.36,169.0,,300,180,subduction interface ,3.1103,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,34N 67E 180-300 km depth M5.5,34N_67E_L4_M5p5,-4.32,-4.99,-6.35
67,35,0.0008,5.5,97,8.2474e-06,183.72,169.0,,300,180,subduction interface ,2.3413,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,35N 67E 180-300 km depth M5.5,35N_67E_L4_M5p5,-5.09,-5.76,-7.16
68,33,0.0003,5.5,97,3.0928e-06,208.49,169.0,,300,180,subduction interface ,1.9153,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,33N 68E 180-300 km depth M5.5,33N_68E_L4_M5p5,-5.54,-6.19,-7.67
68,34,0.0015,5.5,97,1.5464e-05,123.46,169.0,,300,180,subduction interface ,2.6143,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,34N 68E 180-300 km depth M5.5,34N_68E_L4_M5p5,-4.82,-5.49,-6.86
68,35,0.0003,5.5,97,3.0928e-06,93.767,169.0,,300,180,subduction interface ,1.9153,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,35N 68E 180-300 km depth M5.5,35N_68E_L4_M5p5,-5.54,-6.19,-7.67
68,36,0.0002,5.5,97,2.0619e-06,77.543,169.0,,300,180,subduction interface ,1.7393,1.35,0.1,7,0.3,92,67,103,2,StrasserInterface,36N 68E 180-300 km depth M5.5,36N_68E_L4_M5p5,-5.72,-6.37,-7.94
